[0.181s] Invoking command in '/home/marco/ros2_ws/build/urdf_tutorial': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/marco/ros2_ws/build/urdf_tutorial -- -j16 -l16
[0.203s] Invoked command in '/home/marco/ros2_ws/build/urdf_tutorial' returned '0': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/marco/ros2_ws/build/urdf_tutorial -- -j16 -l16
[0.209s] Invoking command in '/home/marco/ros2_ws/build/urdf_tutorial': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/marco/ros2_ws/build/urdf_tutorial
[0.213s] -- Install configuration: ""
[0.213s] -- Execute custom install script
[0.213s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/images/flexible.png
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/images/materials.png
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/images/multipleshapes.png
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/images/myfirst.png
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/images/origins.png
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/images/visual.png
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/launch/display.launch.py
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/meshes/l_finger.dae
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/meshes/l_finger_color.png
